,ds,yhat
0,2016-01-01,2027.8899840927406
1,2016-01-02,2106.3551507480106
2,2016-01-03,2120.170536115535
3,2016-01-04,2146.836511605985
4,2016-01-05,2104.463015810136
5,2016-01-06,2115.7138262085987
6,2016-01-07,2009.2163522350786
7,2016-01-08,1944.48424751317
8,2016-01-09,1892.4957815668504
9,2016-01-10,1775.5574587922242
10,2016-01-11,1673.901484576354
11,2016-01-12,1508.3781779271585
12,2016-01-13,1404.3378817440498
13,2016-01-14,1192.9785497853707
14,2016-01-15,1036.2078345921593
15,2016-01-16,907.1641222932901
16,2016-01-17,730.0274480329324
17,2016-01-18,586.5702406130408
18,2016-01-19,398.81021149800495
19,2016-01-20,292.86098982925614
20,2016-01-21,100.25753914382062
21,2016-01-22,-17.194180853647936
22,2016-01-23,-86.89845840924016
23,2016-01-24,-185.65089116292188
24,2016-01-25,-233.06941594775884
25,2016-01-26,-308.9133453916912
26,2016-01-27,-289.19541030017774
27,2016-01-28,-344.8106063526724
28,2016-01-29,-316.63343008861597
29,2016-01-30,-234.9398924127771
30,2016-01-31,-179.52461711511467
31,2016-02-01,-73.0646958866979
32,2016-02-02,1.6300547050825571
33,2016-02-03,165.57378190055485
34,2016-02-04,245.04277434690843
35,2016-02-05,396.5419224808596
36,2016-02-06,587.4415304174191
37,2016-02-07,735.9127461074972
38,2016-02-08,917.608666130656
39,2016-02-09,1048.4503835268426
40,2016-02-10,1248.610453892643
41,2016-02-11,1343.9676866381892
42,2016-02-12,1491.0796711607195
43,2016-02-13,1657.814984609127
44,2016-02-14,1763.2734910171073
45,2016-02-15,1884.44219252086
46,2016-02-16,1938.9465562298049
47,2016-02-17,2048.990681015197
48,2016-02-18,2042.7613110902835
49,2016-02-19,2079.343388661575
50,2016-02-20,2129.2905243957707
51,2016-02-21,2114.4803402630714
52,2016-02-22,2114.703763305208
53,2016-02-23,2050.349843330705
54,2016-02-24,2046.2810977093743
55,2016-02-25,1933.1759767142196
56,2016-02-26,1872.3876357395125
57,2016-02-27,1836.4637568746803
58,2016-02-28,1748.958573671301
59,2016-02-29,1690.987182643386
60,2016-03-01,1583.8845006229385
61,2016-03-02,1553.0644195559933
62,2016-03-03,1429.356050371078
63,2016-03-04,1373.866284228564
64,2016-03-05,1358.5132001681584
65,2016-03-06,1305.8610114568464
66,2016-03-07,1295.7059384392917
67,2016-03-08,1247.7744568851417
68,2016-03-09,1285.628374269224
69,2016-03-10,1238.052367544646
70,2016-03-11,1263.9718277828947
71,2016-03-12,1333.044070004755
72,2016-03-13,1365.5520811836802
73,2016-03-14,1439.048666358609
74,2016-03-15,1471.1109454931202
75,2016-03-16,1583.298227506505
76,2016-03-17,1602.5875760933352
77,2016-03-18,1686.3337343784137
78,2016-03-19,1802.895458583167
79,2016-03-20,1871.5566205322534
80,2016-03-21,1969.1893378066384
81,2016-03-22,2013.018725195399
82,2016-03-23,2124.5821347770197
83,2016-03-24,2131.1573237924335
84,2016-03-25,2190.7065376149094
85,2016-03-26,2272.479112219806
86,2016-03-27,2296.90171052578
87,2016-03-28,2342.2043886684355
88,2016-03-29,2327.143162312554
89,2016-03-30,2374.913174827866
90,2016-03-31,2314.5281825799507
91,2016-04-01,2305.7147091846887
92,2016-04-02,2319.4648396955536
93,2016-04-03,2277.878117249123
94,2016-04-04,2260.742029693055
95,2016-04-05,2188.2129569297754
96,2016-04-06,2184.69275935925
97,2016-04-07,2080.1776514812846
98,2016-04-08,2035.1284682170772
99,2016-04-09,2021.006859151119
100,2016-04-10,1960.1082328834905
101,2016-04-11,1932.141086744436
102,2016-04-12,1856.9145268245961
103,2016-04-13,1858.2288836123953
104,2016-04-14,1765.2455927181404
105,2016-04-15,1737.3847893332686
106,2016-04-16,1744.894328254406
107,2016-04-17,1708.720088096662
108,2016-04-18,1707.1261188108392
109,2016-04-19,1658.4252792604238
110,2016-04-20,1684.9140621815613
111,2016-04-21,1614.286551605921
112,2016-04-22,1604.5747539246263
113,2016-04-23,1624.7578564438563
114,2016-04-24,1594.6691943677024
115,2016-04-25,1591.6485162343945
116,2016-04-26,1533.2993590681194
117,2016-04-27,1541.4445497705356
118,2016-04-28,1443.554268369143
119,2016-04-29,1397.6935879876614
120,2016-04-30,1373.131908883596
121,2016-05-01,1290.2431222897858
122,2016-05-02,1227.1443364141808
123,2016-05-03,1102.4333969546947
124,2016-05-04,1039.118804980512
125,2016-05-05,866.0172015491385
126,2016-05-06,742.6661934720732
127,2016-05-07,639.895898266629
128,2016-05-08,479.6890786547758
129,2016-05-09,341.7787788246049
130,2016-05-10,146.34479023839071
131,2016-05-11,17.903631267121682
132,2016-05-12,-213.33175142113328
133,2016-05-13,-386.5738168504341
134,2016-05-14,-529.9195477135512
