,ds,yhat
0,2016-01-04,140.78695925477444
1,2016-01-05,140.4048828247214
2,2016-01-06,140.03438575933095
3,2016-01-07,139.64129837458313
4,2016-01-08,139.5890505523443
5,2016-01-11,138.75604604152
6,2016-01-12,138.23822321544841
7,2016-01-13,137.76012678671907
8,2016-01-14,137.29027043624689
9,2016-01-15,137.19398605012978
10,2016-01-19,136.0025456323779
11,2016-01-20,135.64261310623198
12,2016-01-21,135.31709636579544
13,2016-01-22,135.3874408484815
14,2016-01-25,135.21120343526414
15,2016-01-26,134.98850657872637
16,2016-01-27,134.8308631848435
17,2016-01-28,134.69787084723046
18,2016-01-29,134.94540331890764
19,2016-02-01,135.1583040944773
20,2016-02-02,135.00366457360366
21,2016-02-03,134.87783712211322
22,2016-02-04,134.7383502858908
23,2016-02-05,134.9398750830153
24,2016-02-08,134.77911094999297
25,2016-02-09,134.42629063244723
26,2016-02-10,134.07002948775977
27,2016-02-11,133.6717227538727
28,2016-02-12,133.59054279654524
29,2016-02-16,131.81334869389468
30,2016-02-17,131.1367769088795
31,2016-02-18,130.42809201883955
32,2016-02-19,130.0520404779401
33,2016-02-22,128.21033763071853
34,2016-02-23,127.34737042234934
35,2016-02-24,126.52120326433085
36,2016-02-25,125.70115222920072
37,2016-02-26,125.2533020084192
38,2016-02-29,123.43533482799391
39,2016-03-01,122.6568446856381
40,2016-03-02,121.95016657920213
41,2016-03-03,121.281775691812
42,2016-03-04,121.01444715393303
43,2016-03-07,119.8731493689153
44,2016-03-08,119.35163400865527
45,2016-03-09,118.91073519011576
46,2016-03-10,118.51294009482687
47,2016-03-11,118.51726916559105
48,2016-03-14,118.1648751890231
49,2016-03-15,117.88894417886776
50,2016-03-16,117.68179229492235
51,2016-03-17,117.50478235245947
52,2016-03-18,117.71631827630294
53,2016-03-21,117.90499783419962
54,2016-03-22,117.78494706246217
55,2016-03-23,117.7234532877614
56,2016-03-24,117.68344352383374
57,2016-03-28,118.57922087354443
58,2016-03-29,118.5781058461124
59,2016-03-30,118.63626823508709
60,2016-03-31,118.7175306287114
61,2016-04-01,119.18254777110506
62,2016-04-04,120.12006013215506
63,2016-04-05,120.2490662486407
64,2016-04-06,120.43659572695859
65,2016-04-07,120.64480045644103
66,2016-04-08,121.23238142674029
67,2016-04-11,122.48876342538165
68,2016-04-12,122.69974393876639
69,2016-04-13,122.95306921219841
70,2016-04-14,123.20864136206508
71,2016-04-15,123.82312684724089
72,2016-04-18,125.02177428675465
73,2016-04-19,125.16410611708503
74,2016-04-20,125.32359766346256
75,2016-04-21,125.46061085866526
76,2016-04-22,125.932789904156
77,2016-04-25,126.57937604102074
78,2016-04-26,126.50408317264808
79,2016-04-27,126.43421183019463
80,2016-04-28,126.33364317623358
81,2016-04-29,126.56376070776744
82,2016-05-02,126.49624314070137
83,2016-05-03,126.19984228657914
84,2016-05-04,125.92342662449532
85,2016-05-05,125.63415111958541
86,2016-05-06,125.69630738501054
87,2016-05-09,125.27164385125867
88,2016-05-10,124.90991316294108
89,2016-05-11,124.59600878455127
90,2016-05-12,124.29679113545181
91,2016-05-13,124.37567370624063
92,2016-05-16,124.1442262726399
93,2016-05-17,123.88649691844168
94,2016-05-18,123.69134295492847
95,2016-05-19,123.52214049963816
96,2016-05-20,123.7386284466565
97,2016-05-23,123.92777574210594
98,2016-05-24,123.80053115328342
99,2016-05-25,123.72529366471434
100,2016-05-26,123.66244540168944
101,2016-05-27,123.9691189471444
102,2016-05-31,124.19449830550968
103,2016-06-01,124.10655650396896
104,2016-06-02,124.00982179852629
105,2016-06-03,124.26251841617982
106,2016-06-06,124.34209105896352
107,2016-06-07,124.11015980946851
108,2016-06-08,123.90070880734163
109,2016-06-09,123.67808050436038
110,2016-06-10,123.80406308067268
111,2016-06-13,123.53473266621236
112,2016-06-14,123.20857213702418
113,2016-06-15,122.92128640660484
114,2016-06-16,122.63999979951147
115,2016-06-17,122.72890516997502
116,2016-06-20,122.49519248989421
117,2016-06-21,122.23316628597479
118,2016-06-22,122.03649052956298
119,2016-06-23,121.87169705161661
120,2016-06-24,122.10186577508006
121,2016-06-27,122.42218719102407
122,2016-06-28,122.37998709215158
123,2016-06-29,122.41568400747049
124,2016-06-30,122.49238157358998
125,2016-07-01,122.96954980041764
126,2016-07-05,124.2161824413536
127,2016-07-06,124.47090060193182
128,2016-07-07,124.75063124074734
129,2016-07-08,125.41192291371765
130,2016-07-11,126.8841133895962
131,2016-07-12,127.16052552277083
132,2016-07-13,127.47451184887663
133,2016-07-14,127.78562156679149
134,2016-07-15,128.4505505395439
135,2016-07-18,129.77572909308228
136,2016-07-19,129.95552837645855
137,2016-07-20,130.1525908335587
138,2016-07-21,130.32905753111632
139,2016-07-22,130.84447524136766
140,2016-07-25,131.66307815086077
141,2016-07-26,131.66551278865543
142,2016-07-27,131.68638142976735
143,2016-07-28,131.690948672897
144,2016-07-29,132.04171248358577
145,2016-08-01,132.43560102512913
146,2016-08-02,132.32655582227721
147,2016-08-03,132.2535652499818
148,2016-08-04,132.18281810858235
149,2016-08-05,132.47729592947496
150,2016-08-08,132.81462442468919
151,2016-08-09,132.72134910708644
152,2016-08-10,132.6790095188039
153,2016-08-11,132.65178463857688
154,2016-08-12,133.0003359510704
155,2016-08-15,133.53643891885275
156,2016-08-16,133.51192133415813
157,2016-08-17,133.53459003500245
158,2016-08-18,133.56567325875162
159,2016-08-19,133.96301071437625
160,2016-08-22,134.56344977917215
161,2016-08-23,134.5262782376378
162,2016-08-24,134.51682218712153
163,2016-08-25,134.4955255214947
164,2016-08-26,134.8199354683149
165,2016-08-29,135.083103977158
166,2016-08-30,134.89819863778823
167,2016-08-31,134.72669275287245
168,2016-09-01,134.531721238524
169,2016-09-02,134.67391996199652
170,2016-09-06,134.01022015943389
171,2016-09-07,133.66959385603909
172,2016-09-08,133.3200829485668
173,2016-09-09,133.32617971904486
174,2016-09-12,132.76393030298206
175,2016-09-13,132.36956902884737
176,2016-09-14,132.03172884385182
177,2016-09-15,131.71881282143212
178,2016-09-16,131.79593096626922
179,2016-09-19,131.64917486878937
180,2016-09-20,131.45591966359265
181,2016-09-21,131.3463530345213
182,2016-09-22,131.28544343528847
183,2016-09-23,131.63430504827545
184,2016-09-26,132.37441002998247
185,2016-09-27,132.4834124479707
186,2016-09-28,132.67034141615926
187,2016-09-29,132.89467465382987
188,2016-09-30,133.51216974076303
189,2016-10-03,134.90937617596725
190,2016-10-04,135.17366499789335
191,2016-10-05,135.4783909175611
192,2016-10-06,135.78071073752676
193,2016-10-07,136.4348499742584
194,2016-10-10,137.69121517872185
195,2016-10-11,137.82834495977343
196,2016-10-12,137.96959207768967
197,2016-10-13,138.07556207674534
198,2016-10-14,138.50462583444903
199,2016-10-17,138.96342143534875
200,2016-10-18,138.81268023552764
201,2016-10-19,138.66505415111345
202,2016-10-20,138.4872495642057
203,2016-10-21,138.64361422323816
204,2016-10-24,138.4059009139275
205,2016-10-25,138.0794917783099
206,2016-10-26,137.79084969068745
207,2016-10-27,137.50938048878476
208,2016-10-28,137.60127525067003
209,2016-10-31,137.41016482331082
210,2016-11-01,137.17632710297877
211,2016-11-02,137.015074487989
212,2016-11-03,136.89236532008303
213,2016-11-04,137.17023032504954
214,2016-11-07,137.6501650307743
215,2016-11-08,137.65901611526454
216,2016-11-09,137.7400726723984
217,2016-11-10,137.853339368638
218,2016-11-11,138.4706372013199
219,2016-11-14,139.84408512562214
220,2016-11-15,140.0944936817006
221,2016-11-16,140.3833372910941
222,2016-11-17,140.66844008822798
223,2016-11-18,141.30475677825953
224,2016-11-21,142.51222365932858
225,2016-11-22,142.63756769861996
226,2016-11-23,142.7708652789888
227,2016-11-25,143.30532455668543
228,2016-11-28,143.8146815448628
229,2016-11-29,143.69736689320052
230,2016-11-30,143.59224484623402
231,2016-12-01,143.46622432984447
232,2016-12-02,143.6836407022693
233,2016-12-05,143.6809799109938
234,2016-12-06,143.4477196012989
235,2016-12-07,143.25773606442107
236,2016-12-08,143.07893349925962
237,2016-12-09,143.27577911375914
238,2016-12-12,143.39324100960533
239,2016-12-13,143.25284325709762
240,2016-12-14,143.17648013905116
241,2016-12-15,143.12779948565174
242,2016-12-16,143.46659110957083
243,2016-12-19,144.03045191518405
244,2016-12-20,144.028662625924
245,2016-12-21,144.07764555131226
246,2016-12-22,144.13663974597074
247,2016-12-23,144.56152382857186
248,2016-12-27,145.19674781952068
249,2016-12-28,145.189053282342
250,2016-12-29,145.1614149506307
251,2016-12-30,145.47119351794316
252,2017-01-03,145.4173735356939
253,2017-01-04,145.19982120974498
254,2017-01-05,144.95674853254283
255,2017-01-06,145.05072560682615
256,2017-01-09,144.62656201696322
257,2017-01-10,144.23334227984495
258,2017-01-11,143.8735107630743
259,2017-01-12,143.5155213798669
260,2017-01-13,143.52481195309446
261,2017-01-17,142.70046779190687
262,2017-01-18,142.4217016626513
263,2017-01-19,142.174806211672
264,2017-01-20,142.32223060937852
265,2017-01-23,142.37862979400379
266,2017-01-24,142.23751186666485
267,2017-01-25,142.1651657038527
268,2017-01-26,142.12210743350198
269,2017-01-27,142.465028635494
270,2017-01-30,143.00309138359987
271,2017-01-31,142.97118688137212
272,2017-02-01,142.9755381333844
273,2017-02-02,142.9735830142006
274,2017-02-03,143.31973459884858
275,2017-02-06,143.630488672895
276,2017-02-07,143.44504460382333
277,2017-02-08,143.25979920954688
278,2017-02-09,143.03513802483732
279,2017-02-10,143.12916735831556
280,2017-02-13,142.55324908171445
281,2017-02-14,142.04652959434065
282,2017-02-15,141.53674003423856
283,2017-02-16,140.9901861285392
284,2017-02-17,140.77082039096544
285,2017-02-21,138.62694434090187
286,2017-02-22,137.92283336216613
287,2017-02-23,137.2174271568305
288,2017-02-24,136.8769819493394
289,2017-02-27,135.34140040249096
290,2017-02-28,134.6455043727043
291,2017-03-01,134.01673697714378
292,2017-03-02,133.42231285245794
293,2017-03-03,133.22577856929516
294,2017-03-06,132.28560692598967
295,2017-03-07,131.82986361422007
296,2017-03-08,131.4552279046138
297,2017-03-09,131.1247630093481
298,2017-03-10,131.1979829686341
299,2017-03-13,131.06517993398637
300,2017-03-14,130.8674548622003
301,2017-03-15,130.74112689323493
302,2017-03-16,130.64749377773032
303,2017-03-17,130.94481673044072
304,2017-03-20,131.40296617124852
305,2017-03-21,131.37577596099837
306,2017-03-22,131.40810554901276
307,2017-03-23,131.4625462236773
308,2017-03-24,131.8988787744051
309,2017-03-27,132.7366259035768
310,2017-03-28,132.82917429702573
311,2017-03-29,132.98043512281623
312,2017-03-30,133.154255552896
313,2017-03-31,133.711390165414
314,2017-04-03,134.92469377352404
315,2017-04-04,135.14646088741068
316,2017-04-05,135.42780801506754
317,2017-04-06,135.73132852866237
318,2017-04-07,136.4161846565883
319,2017-04-10,137.98075545626355
320,2017-04-11,138.30135114932273
321,2017-04-12,138.66834773049888
322,2017-04-13,139.04192637786952
323,2017-04-17,141.3732135000829
324,2017-04-18,141.65651431784497
325,2017-04-19,141.96117024955447
326,2017-04-20,142.24718847119905
327,2017-04-21,142.8717704879612
328,2017-04-24,143.9903910871839
329,2017-04-25,144.07523341702537
330,2017-04-26,144.16571609786922
331,2017-04-27,144.2249863799358
332,2017-04-28,144.61369798009005
333,2017-05-01,145.00760282683817
334,2017-05-02,144.85817129118095
335,2017-05-03,144.7244524001028
336,2017-05-04,144.57321783717137
337,2017-05-05,144.76847508638
338,2017-05-08,144.71223859944152
339,2017-05-09,144.46316341201742
340,2017-05-10,144.25717778881318
341,2017-05-11,144.0614987518565
342,2017-05-12,144.23998701946547
343,2017-05-15,144.28935061144688
344,2017-05-16,144.12136414002862
345,2017-05-17,144.01517842656156
346,2017-05-18,143.9348798936528
347,2017-05-19,144.24090568211906
348,2017-05-22,144.70893533716253
349,2017-05-23,144.67995412081663
350,2017-05-24,144.70638837499007
351,2017-05-25,144.74894278875365
352,2017-05-26,145.16497390684123
353,2017-05-30,145.86816778968458
354,2017-05-31,145.9090763862634
355,2017-06-01,145.94432899132485
356,2017-06-02,146.33168781899246
357,2017-06-05,146.82569884264242
358,2017-06-06,146.73329873546214
359,2017-06-07,146.6629561710488
360,2017-06-08,146.57833685656712
361,2017-06-09,146.84056850337592
362,2017-06-12,146.96336770721757
363,2017-06-13,146.7606329887835
364,2017-06-14,146.59243573978208
365,2017-06-15,146.42560882219095
366,2017-06-16,146.62414695462974
367,2017-06-19,146.68986141483236
368,2017-06-20,146.51814564727417
369,2017-06-21,146.4074335817592
370,2017-06-22,146.32463258117002
371,2017-06-23,146.63327737959813
372,2017-06-26,147.17346156167346
373,2017-06-27,147.20145398655717
374,2017-06-28,147.3069235330817
375,2017-06-29,147.45367133986753
376,2017-06-30,148.0018601109181
377,2017-07-03,149.28436439823605
