,ds,yhat
0,2016-01-04,98.56316825868431
1,2016-01-05,98.88918485453362
2,2016-01-06,98.94881574137797
3,2016-01-07,99.12116663803951
4,2016-01-08,99.29422138180253
5,2016-01-11,99.58068374715793
6,2016-01-12,99.97104856253918
7,2016-01-13,100.09762421018968
8,2016-01-14,100.33749948900225
9,2016-01-15,100.57656747719419
10,2016-01-19,101.46108280402099
11,2016-01-20,101.61610224292905
12,2016-01-21,101.87194147511906
13,2016-01-22,102.11341222024937
14,2016-01-25,102.48803806745755
15,2016-01-26,102.86210068327773
16,2016-01-27,102.94752347453307
17,2016-01-28,103.12107853360294
18,2016-01-29,103.26896633800953
19,2016-02-01,103.31322792420481
20,2016-02-02,103.56780795987643
21,2016-02-03,103.53303047690734
22,2016-02-04,103.58814634214663
23,2016-02-05,103.62181514919835
24,2016-02-08,103.37173413904367
25,2016-02-09,103.55102703097167
26,2016-02-10,103.45508308562553
27,2016-02-11,103.46429357096619
28,2016-02-12,103.46808995587726
29,2016-02-16,103.43982456263912
30,2016-02-17,103.39199931239558
31,2016-02-18,103.4618313437289
32,2016-02-19,103.53694796305548
33,2016-02-22,103.55198592013564
34,2016-02-23,103.85732231306108
35,2016-02-24,103.90052877930727
36,2016-02-25,104.05808664888644
37,2016-02-26,104.21534394349129
38,2016-02-29,104.42359603032541
39,2016-03-01,104.77042997341043
40,2016-03-02,104.84193855725547
41,2016-03-03,105.01412724501147
42,2016-03-04,105.17227105540992
43,2016-03-07,105.30600663783967
44,2016-03-08,105.60593862502786
45,2016-03-09,105.62219299817642
46,2016-03-10,105.73280514917406
47,2016-03-11,105.82528922333645
48,2016-03-14,105.7617905711569
49,2016-03-15,106.00413364539507
50,2016-03-16,105.97084354557128
51,2016-03-17,106.04210669214687
52,2016-03-18,106.10735118189297
53,2016-03-21,106.04931556265745
54,2016-03-22,106.3255665760398
55,2016-03-23,106.3427384456578
56,2016-03-24,106.48069429750939
57,2016-03-28,106.89626475199721
58,2016-03-29,107.3016173312499
59,2016-03-30,107.45427791907325
60,2016-03-31,107.73151254915408
61,2016-04-01,108.01928449514996
62,2016-04-04,108.68713108764716
63,2016-04-05,109.20965723372078
64,2016-04-06,109.4673590158286
65,2016-04-07,109.83538810607709
66,2016-04-08,110.19789610536654
67,2016-04-11,110.98082280397728
68,2016-04-12,111.50303348668449
69,2016-04-13,111.74095573169318
70,2016-04-14,112.07027692130073
71,2016-04-15,112.37607149610034
72,2016-04-18,112.89522651336618
73,2016-04-19,113.304542505927
74,2016-04-20,113.42075128644478
75,2016-04-21,113.62195147059369
76,2016-04-22,113.79568651321688
77,2016-04-25,113.9193318773284
78,2016-04-26,114.20460525512124
79,2016-04-27,114.20400838012164
80,2016-04-28,114.29728377998585
81,2016-04-29,114.37333000570356
82,2016-05-02,114.27409991800054
83,2016-05-03,114.50974674335136
84,2016-05-04,114.47167107238242
85,2016-05-05,114.53904295345899
86,2016-05-06,114.59991552350756
87,2016-05-09,114.507749693403
88,2016-05-10,114.75853260735936
89,2016-05-11,114.73936649318881
90,2016-05-12,114.82780781216742
91,2016-05-13,114.91033551305874
92,2016-05-16,114.87244172519402
93,2016-05-17,115.13380189500963
94,2016-05-18,115.11998739400055
95,2016-05-19,115.20802572361171
96,2016-05-20,115.2841210401617
97,2016-05-23,115.19184093696443
98,2016-05-24,115.42495453270223
99,2016-05-25,115.37916831548914
100,2016-05-26,115.432581279664
101,2016-05-27,115.47260341468039
102,2016-05-31,115.48128219167809
103,2016-06-01,115.41219129318858
104,2016-06-02,115.44866208675619
105,2016-06-03,115.47912727430564
106,2016-06-06,115.30631222908974
107,2016-06-07,115.53731669337012
108,2016-06-08,115.50409184672209
109,2016-06-09,115.58562076789246
110,2016-06-10,115.63642870611518
111,2016-06-13,115.56834139464347
112,2016-06-14,115.8451182149606
113,2016-06-15,115.86088568078789
114,2016-06-16,115.99315308066745
115,2016-06-17,116.12831669994053
116,2016-06-20,116.29951491406486
117,2016-06-21,116.6466977456935
118,2016-06-22,116.72607190954857
119,2016-06-23,116.91409207982613
120,2016-06-24,117.09627947970999
121,2016-06-27,117.35045640162737
122,2016-06-28,117.7051009953613
