,ds,yhat
0,2016-01-04,149.5528176551726
1,2016-01-05,149.69158538598683
2,2016-01-06,149.8693317513667
3,2016-01-07,149.99881065251708
4,2016-01-08,150.28913723612723
5,2016-01-11,151.07662943604382
6,2016-01-12,151.20509483793302
7,2016-01-13,151.36805867331168
8,2016-01-14,151.47785978952646
9,2016-01-15,151.74324731774087
10,2016-01-19,152.50221986481685
11,2016-01-20,152.6113769888133
12,2016-01-21,152.66188007169876
13,2016-01-22,152.86288733165503
14,2016-01-25,153.32406361279712
15,2016-01-26,153.32671399365094
16,2016-01-27,153.3571484610623
17,2016-01-28,153.3291421257565
18,2016-01-29,153.45309579002517
19,2016-02-01,153.70480936530686
20,2016-02-02,153.64916667080342
21,2016-02-03,153.62909750347566
22,2016-02-04,153.5594525397312
23,2016-02-05,153.65157195019063
24,2016-02-08,153.8733866722597
25,2016-02-09,153.83087331888197
26,2016-02-10,153.83551974693404
27,2016-02-11,153.80183305732518
28,2016-02-12,153.94056186502374
29,2016-02-16,154.39279284591416
30,2016-02-17,154.48049491316763
31,2016-02-18,154.5325044690579
32,2016-02-19,154.75773719694814
33,2016-02-22,155.41946062798354
34,2016-02-23,155.5268269178615
35,2016-02-24,155.67763589518597
36,2016-02-25,155.78322986453014
37,2016-02-26,156.05132722607974
38,2016-02-29,156.76935031830308
39,2016-03-01,156.8702363827447
40,2016-03-02,157.00217868457153
41,2016-03-03,157.07716076432038
42,2016-03-04,157.3038679374428
43,2016-03-07,157.84721002094034
44,2016-03-08,157.8790434763882
45,2016-03-09,157.9400355052116
46,2016-03-10,157.94448547429803
47,2016-03-11,158.10345726740036
48,2016-03-14,158.48387028572114
49,2016-03-15,158.482137923755
50,2016-03-16,158.5231340939649
51,2016-03-17,158.52268601086232
52,2016-03-18,158.69305728910612
53,2016-03-21,159.2117505364445
54,2016-03-22,159.29082196824066
55,2016-03-23,159.4164048106648
56,2016-03-24,159.5155157041433
57,2016-03-28,160.71252246576046
58,2016-03-29,160.9330174256748
59,2016-03-30,161.2121776017281
60,2016-03-31,161.46118102640017
61,2016-04-01,161.8871683886594
62,2016-04-04,163.15354313906101
63,2016-04-05,163.45590802129936
64,2016-04-06,163.79455971001255
65,2016-04-07,164.07845644286047
66,2016-04-08,164.51294191096093
67,2016-04-11,165.63573526440777
68,2016-04-12,165.8329501793356
69,2016-04-13,166.0387172328273
70,2016-04-14,166.16336808533345
71,2016-04-15,166.41415105506093
72,2016-04-18,166.86541209476243
73,2016-04-19,166.80950688197134
74,2016-04-20,166.75378908415388
75,2016-04-21,166.61271395440923
76,2016-04-22,166.59778628523216
77,2016-04-25,166.2948559571756
78,2016-04-26,166.01567141152307
79,2016-04-27,165.7571181519333
80,2016-04-28,165.4370165961128
81,2016-04-29,165.2698336568004
82,2016-05-02,164.69323578601063
83,2016-05-03,164.3886916831287
84,2016-05-04,164.13870684519975
85,2016-05-05,163.86082693939792
86,2016-05-06,163.76866942564618
87,2016-05-09,163.59734979225965
88,2016-05-10,163.47997665588153
89,2016-05-11,163.4381549963937
90,2016-05-12,163.3858954548902
91,2016-05-13,163.5330366188329
92,2016-05-16,164.12177545873777
93,2016-05-17,164.2583252906165
94,2016-05-18,164.464137965995
95,2016-05-19,164.64952904785798
96,2016-05-20,165.02089880489592
97,2016-05-23,166.17240248719455
98,2016-05-24,166.45207819880665
99,2016-05-25,166.77597640358206
100,2016-05-26,167.05343174083634
101,2016-05-27,167.49034481974553
102,2016-05-31,168.92486883261688
103,2016-06-01,169.19029186792164
104,2016-06-02,169.38904716489728
105,2016-06-03,169.729340594739
106,2016-06-06,170.54938440195656
107,2016-06-07,170.6515805009771
108,2016-06-08,170.7718927932152
109,2016-06-09,170.82460731203946
110,2016-06-10,170.87405309102624
111,2016-06-13,170.8595303032128
112,2016-06-14,170.70400796367136
113,2016-06-15,170.58013193822478
114,2016-06-16,170.40374593055208
115,2016-06-17,170.38716657422313
116,2016-06-20,170.2804468821808
117,2016-06-21,170.13052440075796
118,2016-06-22,170.03017380394797
119,2016-06-23,169.8946665054745
120,2016-06-24,169.9354879095946
121,2016-06-27,170.08841473999368
122,2016-06-28,170.04935869297657
123,2016-06-29,170.06925336087394
124,2016-06-30,170.06154704884716
125,2016-07-01,170.2358412773918
126,2016-07-05,170.90214926094427
127,2016-07-06,171.0555018930883
128,2016-07-07,171.17591636006458
129,2016-07-08,171.47143428635042
130,2016-07-11,172.34839911812975
131,2016-07-12,172.52729668842446
132,2016-07-13,172.74897681233787
133,2016-07-14,172.92459342862693
134,2016-07-15,173.26174395250496
135,2016-07-18,174.18037315670568
136,2016-07-19,174.3456586680481
137,2016-07-20,174.54050237649588
138,2016-07-21,174.67659850487334
139,2016-07-22,174.9622203844599
140,2016-07-25,175.66275079158467
141,2016-07-26,175.7375079418603
142,2016-07-27,175.83477673217809
143,2016-07-28,175.86745726305756
144,2016-07-29,176.0450627789082
145,2016-08-01,176.40650113307385
146,2016-08-02,176.3673395006397
147,2016-08-03,176.35222207274774
148,2016-08-04,176.27515108016857
149,2016-08-05,176.34666630695614
150,2016-08-08,176.42067817025728
151,2016-08-09,176.29841418216824
152,2016-08-10,176.20746543529583
153,2016-08-11,176.06219661709497
154,2016-08-12,176.07338064589723
155,2016-08-15,176.01400655300557
156,2016-08-16,175.86266989827408
157,2016-08-17,175.74981753855263
158,2016-08-18,175.58934615650494
159,2016-08-19,175.59147462939882
160,2016-08-22,175.53526952968917
161,2016-08-23,175.3926876291945
162,2016-08-24,175.29117159198665
163,2016-08-25,175.14385432014583
164,2016-08-26,175.16021052418998
165,2016-08-29,175.14628386908927
166,2016-08-30,175.01566442066175
167,2016-08-31,174.92422826922297
168,2016-09-01,174.7847431008768
169,2016-09-02,174.80640943535596
170,2016-09-06,174.6556612659822
171,2016-09-07,174.5560476393925
172,2016-09-08,174.40611599430582
173,2016-09-09,174.4153807014882
174,2016-09-12,174.35586567728876
175,2016-09-13,174.20342265867137
176,2016-09-14,174.08784529093083
177,2016-09-15,173.9226146266251
178,2016-09-16,173.91769376766203
179,2016-09-19,173.82634937649274
180,2016-09-20,173.66801930974216
181,2016-09-21,173.54936865555672
182,2016-09-22,173.38406998624504
183,2016-09-23,173.38222312492655
184,2016-09-26,173.31953518369212
185,2016-09-27,173.17719463581997
186,2016-09-28,173.07763364304705
187,2016-09-29,172.93440908169373
188,2016-09-30,172.95748606949434
189,2016-10-03,172.9852016966821
190,2016-10-04,172.8777299344399
191,2016-10-05,172.81519569783217
192,2016-10-06,172.71105863841203
193,2016-10-07,172.775210318019
194,2016-10-10,172.93771210235673
195,2016-10-11,172.87901908553033
196,2016-10-12,172.86723320828742
197,2016-10-13,172.8158578465279
198,2016-10-14,172.93482995723244
199,2016-10-17,173.27444952100234
200,2016-10-18,173.2790038490682
201,2016-10-19,173.3324768956102
202,2016-10-20,173.3482469178854
203,2016-10-21,173.5360693622009
204,2016-10-24,174.0897063635355
205,2016-10-25,174.16683371943049
206,2016-10-26,174.29270269743088
207,2016-10-27,174.3801213459487
208,2016-10-28,174.63822052470357
209,2016-10-31,175.38758912286508
210,2016-11-01,175.5225128097776
211,2016-11-02,175.7012318588492
212,2016-11-03,175.83584326204627
213,2016-11-04,176.1348038811063
214,2016-11-07,176.9629137622149
215,2016-11-08,177.1079161325386
216,2016-11-09,177.28809684897809
217,2016-11-10,177.41540203618402
218,2016-11-11,177.72074298548674
219,2016-11-14,178.5168659647938
