,ds,yhat
0,2016-01-04,196.81664462442936
1,2016-01-05,197.0676010437824
2,2016-01-06,197.32656275062524
3,2016-01-07,197.4108636629531
4,2016-01-08,197.54600433498103
5,2016-01-11,197.93054530779165
6,2016-01-12,197.94625856652834
7,2016-01-13,197.97803713930296
8,2016-01-14,197.84774577443
9,2016-01-15,197.78512672766948
10,2016-01-19,197.63224135710666
11,2016-01-20,197.59772517940712
12,2016-01-21,197.43267404290114
13,2016-01-22,197.36697025439
14,2016-01-25,197.4668553860116
15,2016-01-26,197.49653632144995
16,2016-01-27,197.595065151905
17,2016-01-28,197.58150462611158
18,2016-01-29,197.6816613475576
19,2016-02-01,198.3202977090511
20,2016-02-02,198.52754112758842
21,2016-02-03,198.79474791277207
22,2016-02-04,198.93647082924343
23,2016-02-05,199.1742860454856
24,2016-02-08,200.08384003895875
25,2016-02-09,200.3244410150797
26,2016-02-10,200.59318596312116
27,2016-02-11,200.70357465811418
28,2016-02-12,200.87679525608024
29,2016-02-16,201.45117747123737
30,2016-02-17,201.5058163884912
31,2016-02-18,201.37961566762291
32,2016-02-19,201.29734170924868
33,2016-02-22,200.97999444461843
34,2016-02-23,200.74230153292845
35,2016-02-24,200.5094882738044
36,2016-02-25,200.1025846843498
37,2016-02-26,199.7505697707532
38,2016-02-29,198.72822899934465
39,2016-03-01,198.30147654719636
40,2016-03-02,197.90719868080794
41,2016-03-03,197.36854847190702
42,2016-03-04,196.91616499788708
43,2016-03-07,195.79055422547603
44,2016-03-08,195.39621986457666
45,2016-03-09,195.06714399617917
46,2016-03-10,194.6255015302509
47,2016-03-11,194.30060186284277
48,2016-03-14,193.72252629535734
49,2016-03-15,193.55859297362684
50,2016-03-16,193.47982441179488
51,2016-03-17,193.30577011640452
52,2016-03-18,193.26302744798014
53,2016-03-21,193.5910273090117
54,2016-03-22,193.73965794464553
55,2016-03-23,193.9740840292084
56,2016-03-24,194.1111443442798
57,2016-03-28,195.56755077778303
58,2016-03-29,195.97809482601355
59,2016-03-30,196.4573442582496
60,2016-03-31,196.81990236813215
61,2016-04-01,197.28757288483774
62,2016-04-04,198.94440494428142
63,2016-04-05,199.454510039947
64,2016-04-06,200.00331642821453
65,2016-04-07,200.4042719118376
66,2016-04-08,200.8782697529814
67,2016-04-11,202.3568404168574
68,2016-04-12,202.74179629465942
69,2016-04-13,203.13350435742495
70,2016-04-14,203.3465520850944
71,2016-04-15,203.60338921332044
72,2016-04-18,204.27691019707933
73,2016-04-19,204.35174630351364
74,2016-04-20,204.418158173759
75,2016-04-21,204.29470090591641
76,2016-04-22,204.20809828653557
77,2016-04-25,203.85588441236794
78,2016-04-26,203.60642836117873
79,2016-04-27,203.3654896679635
80,2016-04-28,202.9563831411286
81,2016-04-29,202.61039241920423
82,2016-05-02,201.67835958206038
83,2016-05-03,201.31314767926392
84,2016-05-04,200.99954885898302
85,2016-05-05,200.56252196901363
86,2016-05-06,200.2342810177851
87,2016-05-09,199.6274268739205
88,2016-05-10,199.45665862243447
89,2016-05-11,199.37630787772315
90,2016-05-12,199.20770385750316
91,2016-05-13,199.17876731055964
92,2016-05-16,199.60375801013527
93,2016-05-17,199.8022841107192
94,2016-05-18,200.09352743497638
95,2016-05-19,200.29240029119163
96,2016-05-20,200.62044874387803
97,2016-05-23,201.99293434200098
98,2016-05-24,202.44788898075592
99,2016-05-25,202.95808502917205
100,2016-05-26,203.3347881999723
101,2016-05-27,203.7966916704889
102,2016-05-31,205.69351279793455
103,2016-06-01,206.1060365364871
104,2016-06-02,206.34287207551768
105,2016-06-03,206.62614019854138
106,2016-06-06,207.39779259056073
107,2016-06-07,207.51461077235822
108,2016-06-08,207.6300262046834
109,2016-06-09,207.56445829073297
110,2016-06-10,207.3445575042693
111,2016-06-13,206.68027923694356
112,2016-06-14,206.3633797706904
113,2016-06-15,206.07661864748562
114,2016-06-16,205.64495563742003
115,2016-06-17,205.30098471671275
116,2016-06-20,204.52938401895776
117,2016-06-21,204.2690676473111
118,2016-06-22,204.08480234465395
119,2016-06-23,203.80002589739172
120,2016-06-24,203.64494792988074
121,2016-06-27,203.65659372021057
122,2016-06-28,203.7144292756388
123,2016-06-29,203.8679931608568
124,2016-06-30,203.93486767697405
125,2016-07-01,204.13921733250965
126,2016-07-05,205.60368033064134
127,2016-07-06,206.06698970829308
128,2016-07-07,206.41803314302166
129,2016-07-08,206.876935107891
130,2016-07-11,208.50876720535618
131,2016-07-12,209.00706855453387
132,2016-07-13,209.541226584187
133,2016-07-14,209.9246584681465
134,2016-07-15,210.37870991541746
135,2016-07-18,211.79499584294535
136,2016-07-19,212.16486902328825
137,2016-07-20,212.54870029678617
138,2016-07-21,212.76425346559745
139,2016-07-22,213.037419761676
140,2016-07-25,213.87923633199782
141,2016-07-26,214.06195543597127
142,2016-07-27,214.26769474597884
143,2016-07-28,214.3178234571602
144,2016-07-29,214.441377764856
145,2016-08-01,214.9525883910265
146,2016-08-02,215.06933012192556
147,2016-08-03,215.23205555279452
148,2016-08-04,215.26170821542448
149,2016-08-05,215.3862986182399
150,2016-08-08,216.01124877530233
151,2016-08-09,216.19428236082504
152,2016-08-10,216.43229699235695
153,2016-08-11,216.5427158219211
154,2016-08-12,216.74987549634363
155,2016-08-15,217.5961393806421
156,2016-08-16,217.8321867264589
157,2016-08-17,218.107366360704
158,2016-08-18,218.23628315284628
159,2016-08-19,218.44085662613296
160,2016-08-22,219.13576680424006
161,2016-08-23,219.2704182724251
162,2016-08-24,219.41857442854854
163,2016-08-25,219.3955908313631
164,2016-08-26,219.42468740559744
