,ds,yhat
0,2016-01-04,32.134869376510586
1,2016-01-05,31.95190064142313
2,2016-01-06,32.590646964558296
3,2016-01-07,32.40891810147325
4,2016-01-08,32.40480464768906
5,2016-01-11,33.87554930635497
6,2016-01-12,33.013528687849956
7,2016-01-13,32.9660218007885
8,2016-01-14,32.105878472437624
9,2016-01-15,31.445922140838725
10,2016-01-19,29.91970097552345
11,2016-01-20,29.51351990625774
12,2016-01-21,28.37926223690744
13,2016-01-22,27.53313021677568
14,2016-01-25,27.273283030056053
15,2016-01-26,26.125188729420202
16,2016-01-27,25.939912499991486
17,2016-01-28,25.086010294145296
18,2016-01-29,24.56812722944442
19,2016-02-01,25.448424957008868
20,2016-02-02,24.68534104322123
21,2016-02-03,24.864088106672714
22,2016-02-04,24.339938744172052
23,2016-02-05,24.10531326825032
24,2016-02-08,25.456922739625362
25,2016-02-09,24.70110119677247
26,2016-02-10,24.805782736323295
27,2016-02-11,24.12591071147031
28,2016-02-12,23.655969200612326
29,2016-02-16,22.634955315303355
30,2016-02-17,22.21400570081901
31,2016-02-18,20.984438023481943
32,2016-02-19,19.95486536802706
33,2016-02-22,18.585794685935582
34,2016-02-23,16.887587546823593
35,2016-02-24,16.07291346422813
36,2016-02-25,14.521362082009489
37,2016-02-26,13.251276531408962
38,2016-02-29,11.717133072554434
39,2016-03-01,10.16094107303011
40,2016-03-02,9.586800854667404
41,2016-03-03,8.370840577163193
42,2016-03-04,7.525751250158301
43,2016-03-07,7.717356768057726
44,2016-03-08,6.850077253802889
45,2016-03-09,7.000389818209612
46,2016-03-10,6.530540707928935
47,2016-03-11,6.43909050011454
48,2016-03-14,8.799112216483197
49,2016-03-15,8.5814457786703
50,2016-03-16,9.326400542661101
51,2016-03-17,9.387403874873296
52,2016-03-18,9.75593476891446
53,2016-03-21,13.02813544685353
54,2016-03-22,12.95408934596431
55,2016-03-23,13.764882065982402
56,2016-03-24,13.817997415689351
57,2016-03-28,16.818533900198737
58,2016-03-29,16.472856239533826
59,2016-03-30,16.985441947431447
60,2016-03-31,16.722914355592465
61,2016-04-01,16.69105936578672
62,2016-04-04,18.450757214393203
63,2016-04-05,17.817665380370794
64,2016-04-06,18.064390489369906
65,2016-04-07,17.559843474241788
66,2016-04-08,17.310697701930884
67,2016-04-11,18.555708623217683
68,2016-04-12,17.787085450060246
69,2016-04-13,17.908999528263315
70,2016-04-14,17.284927613733807
71,2016-04-15,16.915721148973468
72,2016-04-18,17.73845419643048
73,2016-04-19,16.790234946126958
74,2016-04-20,16.705613494609434
75,2016-04-21,15.844908019059792
76,2016-04-22,15.206944073221731
77,2016-04-25,15.029559438338024
78,2016-04-26,13.689701678897185
79,2016-04-27,13.190802294195183
80,2016-04-28,11.898921574055272
81,2016-04-29,10.819684185801805
82,2016-05-02,9.337898782853703
83,2016-05-03,7.598859833860333
84,2016-05-04,6.733549346011898
85,2016-05-05,5.116700873447247
86,2016-05-06,3.762054594100672
87,2016-05-09,1.819288968828154
88,2016-05-10,0.06513700553682256
89,2016-05-11,-0.7410908227511968
90,2016-05-12,-2.2240255708417678
91,2016-05-13,-3.370913438711888
92,2016-05-16,-4.28112517419671
93,2016-05-17,-5.573363504300243
94,2016-05-18,-5.871418129357977
95,2016-05-19,-6.809059857521223
96,2016-05-20,-7.383419565354707
97,2016-05-23,-6.5173769567777455
98,2016-05-24,-7.2330133745062675
99,2016-05-25,-6.978875822258992
100,2016-05-26,-7.3977060802642605
101,2016-05-27,-7.494609475579789
102,2016-05-31,-5.963172694956814
103,2016-06-01,-5.512161174649876
104,2016-06-02,-5.794611589719548
105,2016-06-03,-5.813568580943411
106,2016-06-06,-3.9006551270893866
107,2016-06-07,-4.467992870064325
108,2016-06-08,-4.157074350523935
109,2016-06-09,-4.602224629127253
110,2016-06-10,-4.8155285106026575
111,2016-06-13,-3.493819247704071
112,2016-06-14,-4.236619172504742
113,2016-06-15,-4.079906280039388
114,2016-06-16,-4.653103051234471
115,2016-06-17,-4.947375405626527
116,2016-06-20,-3.668159673210031
117,2016-06-21,-4.357442908325865
118,2016-06-22,-4.115798115429758
119,2016-06-23,-4.5756506525739375
120,2016-06-24,-4.732029857205134
121,2016-06-27,-2.9399809664736978
122,2016-06-28,-3.4432064449492508
123,2016-06-29,-3.017187918928933
124,2016-06-30,-3.299655277304005
125,2016-07-01,-3.2905294669798906
126,2016-07-05,-1.533582558745806
127,2016-07-06,-1.0505628184686735
128,2016-07-07,-1.3014146638367663
129,2016-07-08,-1.2850780293672734
130,2016-07-11,0.7906604594943012
131,2016-07-12,0.3058582223232804
132,2016-07-13,0.7168569310990804
133,2016-07-14,0.3906276426952999
134,2016-07-15,0.33298464983029774
135,2016-07-18,2.2403032724258374
136,2016-07-19,1.730274164053224
137,2016-07-20,2.1365345839699543
138,2016-07-21,1.8279169322766293
139,2016-07-22,1.8112025711265858
140,2016-07-25,3.9766847988915153
141,2016-07-26,3.5916385336612144
142,2016-07-27,4.137073961187852
143,2016-07-28,3.977544446486455
144,2016-07-29,4.114984132547484
145,2016-08-01,6.71968905632238
146,2016-08-02,6.454944196068498
147,2016-08-03,7.098852626502278
148,2016-08-04,7.011326093583195
149,2016-08-05,7.190308295203909
150,2016-08-08,9.70962419485839
151,2016-08-09,9.342262433275323
152,2016-08-10,9.847088587292173
153,2016-08-11,9.586029717881843
154,2016-08-12,9.560103406602446
155,2016-08-15,11.321263552953669
156,2016-08-16,10.672130864508732
157,2016-08-17,10.89138653417078
158,2016-08-18,10.347811520399178
159,2016-08-19,10.049272346036139
160,2016-08-22,11.116083753910594
161,2016-08-23,10.295170140719367
162,2016-08-24,10.379689458034038
163,2016-08-25,9.741217219258965
164,2016-08-26,9.389243719365728
165,2016-08-29,10.542177061188424
166,2016-08-30,9.825143192995116
167,2016-08-31,10.044736480424739
168,2016-09-01,9.56716731729188
169,2016-09-02,9.395746684584262
170,2016-09-06,10.609202084675676
171,2016-09-07,11.000422072138168
172,2016-09-08,10.671504598215005
173,2016-09-09,10.619845209758848
174,2016-09-12,12.503887530509703
175,2016-09-13,11.940590828606496
176,2016-09-14,12.255829545901493
177,2016-09-15,11.810691989437885
178,2016-09-16,11.605503694532423
179,2016-09-19,12.85418292507757
